-0.08	-0.08	0.01	0.00	0.70	0.70	0.00	0.00
-0.08	-0.08	0.01	0.00	0.53	0.29	0.07	0.31
-0.08	-0.08	0.01	0.00	0.53	0.29	0.07	0.31
-0.08	-0.08	0.01	0.00	0.53	0.29	0.07	0.31
-0.08	-0.08	0.01	0.00	0.53	0.29	0.07	0.31
-0.08	-0.08	0.01	0.00	0.52	0.29	0.08	0.31
-0.08	-0.08	0.01	0.00	0.53	0.30	0.07	0.30
-0.08	-0.08	0.01	0.00	0.53	0.30	0.07	0.30
-0.08	-0.08	0.01	0.00	0.53	0.30	0.07	0.30
-0.08	-0.08	0.01	0.00	0.54	0.30	0.06	0.30
-0.08	-0.08	0.01	0.00	0.53	0.30	0.07	0.30
-0.08	-0.08	0.01	0.00	0.53	0.30	0.07	0.30
-0.08	-0.08	0.01	0.00	0.54	0.30	0.06	0.30
-0.08	-0.08	0.01	0.00	0.53	0.30	0.07	0.30
-0.08	-0.08	0.01	0.01	0.53	0.30	0.07	0.30
-0.08	-0.08	0.01	0.01	0.53	0.30	0.07	0.30
-0.08	-0.08	0.01	0.01	0.54	0.30	0.06	0.30
-0.08	-0.08	0.01	0.01	0.53	0.30	0.07	0.30
-0.08	-0.08	0.01	0.01	0.53	0.30	0.07	0.30
-0.08	-0.08	0.01	0.01	0.53	0.30	0.07	0.30
-0.08	-0.08	0.01	0.01	0.54	0.30	0.06	0.30
-0.08	-0.08	0.01	0.01	0.53	0.30	0.07	0.30
-0.08	-0.08	0.01	0.01	0.53	0.30	0.07	0.30
-0.08	-0.08	0.01	0.01	0.53	0.31	0.07	0.29
-0.08	-0.08	0.01	0.01	0.53	0.30	0.07	0.30
-0.08	-0.08	0.01	0.01	0.53	0.31	0.07	0.29
-0.08	-0.08	0.01	0.01	0.54	0.29	0.06	0.31
-0.08	-0.08	0.01	0.01	0.52	0.30	0.08	0.30
-0.08	-0.08	0.00	0.01	0.55	0.31	0.05	0.29
-0.08	-0.08	0.01	0.01	0.53	0.29	0.07	0.31
